start_index,observed_variability,RMSE_Physics-Compact,RMSE_DLinear,RMSE_TimeMixer,RMSE_iTransformer,RMSE_PatchTST,mean_modern_RMSE,PhysicsCompact_skill_fraction,eligible,selected
112,1.41497142317366,1.2251765871240299,1.2224077324929237,1.214134632712726,1.245938896608195,1.2310335984720562,1.2283787150714753,0.0026067921139932265,0,0
113,1.4151840529607116,1.2250998736527372,1.222404579107617,1.2140347271780987,1.2458602435245494,1.2309068784213673,1.228301607057908,0.0026066345486918186,0,0
114,1.4148716563120807,1.224766714101121,1.2221458269755532,1.2138596583240424,1.245767186519254,1.2308686389826353,1.2281603277003712,0.002763168230327501,0,0
115,1.4145956010745468,1.2248808467344587,1.2222539704353832,1.2139959114475094,1.2460037689609857,1.2313632634158909,1.2284042285649424,0.0028682592818812876,0,0
116,1.4137109984803546,1.2254048290745818,1.222669496401669,1.2146087980077016,1.2465664737877944,1.2321024198894543,1.2289867970216548,0.0029145699170679377,0,0
117,1.4131361770408855,1.2257305364146074,1.2229535445870308,1.215015448098092,1.2469481868903523,1.2326868990270554,1.2294010196506326,0.002985586620928884,0,0
118,1.413010347882006,1.2261715731963105,1.2234473821045762,1.2152645417616441,1.2472266480138068,1.2331901605307007,1.229782183102682,0.002935975131191219,0,0
119,1.4122848344341432,1.226520324045344,1.2237801580114982,1.2155426230785635,1.2476175154770548,1.2338087911417788,1.2301872719272238,0.0029808046023229824,0,0
120,1.4114089598838846,1.2262027747235178,1.2234803018814429,1.2153931334267298,1.2474986304559712,1.2337267122735625,1.2300246945094266,0.0031071894759260497,0,0
121,1.4111359440936253,1.2265468327852413,1.2236762285729528,1.215809413655068,1.2480956660956841,1.2343537989098203,1.2304837768083812,0.003199509085240794,0,0
122,1.4113294377207117,1.2271176282088925,1.2241040323457395,1.2163300153094263,1.2486908366071665,1.234899185653724,1.231006017479014,0.0031587085805515752,0,0
123,1.393661121263261,1.2087348584321316,1.2053173270611728,1.198669811909524,1.2306038108484374,1.2167612821181963,1.2128380579843328,0.0033831388495678127,0,0
124,1.3794020172824033,1.193485712448457,1.18971172826636,1.1843482760790744,1.2156762497439826,1.2020545295794165,1.1979476959172084,0.003724689720560009,0,0
125,1.3671224470127834,1.1807773593959725,1.1766015015618376,1.1723668814093018,1.203555046249086,1.1897877895765747,1.1855778046992,0.004049034389982942,0,0
126,1.3548822446912483,1.1666222793619099,1.1629509628975543,1.1591203558216292,1.1898373128390276,1.1762032423986128,1.172027968489206,0.004612252670270645,0,0
127,1.340084923305099,1.150459371138675,1.1473930570919268,1.1436053264812607,1.173992365662648,1.1602258592550756,1.1563041521227277,0.0050547089823408066,0,0
128,1.3278555765261217,1.137342563277158,1.1350367303675566,1.1312677628886825,1.161059375183742,1.1473849622381505,1.1436872076695328,0.005547534631696237,0,0
129,1.3205917990090104,1.1300482944845878,1.1283572898656602,1.1242952212967638,1.1539349416138764,1.1400627638665801,1.13666255416072,0.0058190178359628095,0,0
130,1.3077271056450996,1.1172207323557657,1.1157615138530603,1.1120702600067964,1.1412370488366335,1.1276745803156005,1.1241858507530227,0.00619570010829748,0,0
131,1.2998672339402648,1.1084838112417263,1.1072656050837508,1.1044718500807535,1.1325141918490476,1.1192507738100546,1.1158756052059016,0.006624209660727626,0,0
132,1.2823295400629222,1.0904819667105146,1.0897389693057078,1.087355116171166,1.1149062992542407,1.1015750777755013,1.0983938656266539,0.007203152861405886,0,0
133,1.260251779991918,1.0805468895556563,1.0809267399946307,1.0840878376813683,1.108366468968782,1.0962603858459918,1.0924103581226932,0.010859901207293816,0,0
134,1.2367989512253308,1.0721826306969862,1.0746122376162994,1.0804321951324174,1.1031198471682917,1.09152650565997,1.0874226963942446,0.014014849743151916,0,0
135,1.2253502707792523,1.0699508709039693,1.0735212383633033,1.0795534495046664,1.1026458681039144,1.091327872511514,1.0867621071208495,0.015469104145909233,0,0
136,1.214367579386672,1.067558551454159,1.0716847988093001,1.0786561130582404,1.1017758830851387,1.0912612879397798,1.0858445207231147,0.016840320064218924,0,0
137,1.2011745774625513,1.0663048034456135,1.0710633809392573,1.0784247183125928,1.1013378514140972,1.0909262371083304,1.0854380469435694,0.01762720917313725,0,0
138,1.1825871575735503,1.0614331355147986,1.0679747494280507,1.0754833294913462,1.0975373651428901,1.0879176774433488,1.082228280376409,0.01921511869416094,0,0
139,1.1667278170510011,1.0568868089806007,1.0650030388822316,1.0732694457772693,1.093549711637571,1.0857589992322292,1.0793952988823252,0.02085287005143641,0,0
140,1.1521972476355147,1.055726214844639,1.06466182435232,1.0729333508297303,1.092023557094823,1.085029430816001,1.0786620407732186,0.02126321782134705,0,0
141,1.139859571920225,1.0557239606376552,1.0650738141940757,1.0736589481123562,1.0918753254483007,1.0854468038454697,1.0790137229000505,0.021584305897240808,0,0
142,1.1281722544832775,1.0571082726079506,1.065808240653427,1.075037123462789,1.0924973109906553,1.0863455707513212,1.0799220614645482,0.02112540309219945,0,0
143,1.1185448156474171,1.056786895982528,1.0649134372217686,1.0749435499129347,1.0921767887229727,1.086237292946741,1.0795677672011044,0.021101844562883047,0,0
144,1.1089244035386774,1.0582234738585008,1.0647571363456025,1.0763854871326086,1.0939982074300467,1.0875590595776414,1.0806749726214748,0.02077544065678854,0,0
